episode_id,start_date,end_date,duration_days,mean_r,peak_r,peak_r_date,stringency_change,cases_change,deaths_change,mean_cases,max_cases,mean_deaths,max_deaths,mean_stringency,max_stringency,matched_events
1,2020-04-26,2020-04-26,1,0.30641343864394155,0.30641343864394155,2020-04-26,0.0,0.0,0.0,5216.0,5216.0,412.33333333333394,412.33333333333394,80.55666666666666,80.55666666666666,No known event matched
2,2020-06-15,2020-06-25,11,-0.3223085699040186,-0.33882971244326016,2020-06-15,0.0,2977.5,24.66666666666424,5273.545454545455,6732.5,119.2121212121211,152.83333333333212,59.30696969696971,59.335,No known event matched
3,2020-08-12,2020-09-28,48,-0.4011014221876124,-0.48858132771595936,2020-08-31,-8.873333333333328,-2272.166666666628,-192.33333333332848,7588.1597222222235,12048.333333333256,144.41319444444434,261.8333333333285,65.65746527777777,69.44333333333333,2020-09-22: UK rule of six introduced
4,2021-02-18,2021-02-19,2,-0.30764976476609185,-0.3087094561704912,2021-02-18,0.0,356.6666666660494,-15.5,14955.5,15133.833333333025,523.5833333333285,531.3333333333285,68.67166666666667,68.67166666666667,No known event matched
5,2021-02-27,2021-02-27,1,-0.30111000572488145,-0.30111000572488145,2021-02-27,0.0,0.0,0.0,13584.0,13584.0,313.0,313.0,65.045,65.045,2021-02-22: UK roadmap out of lockdown announced
6,2021-03-20,2021-04-05,17,0.39306169290377474,0.5032761907812109,2021-03-28,-2.0533333333333346,1855.6666666679084,-55.0,12044.058823529413,16520.166666666046,157.48039215686217,251.5,60.52450980392156,63.348333333333336,No known event matched
7,2021-06-25,2021-06-25,1,0.3228195221570759,0.3228195221570759,2021-06-25,0.0,0.0,0.0,6810.0,6810.0,92.5,92.5,50.93666666666667,50.93666666666667,2021-06-18: Delta variant declared dominant in UK
8,2021-09-07,2021-09-15,9,0.31594350634679275,0.32735517227852523,2021-09-15,-0.3499999999999872,-8545.166666666046,111.16666666665697,33803.018518518555,47798.0,368.7592592592603,573.666666666657,59.223703703703706,59.77666666666666,No known event matched
9,2021-12-03,2021-12-13,11,0.336921156745814,0.38431567578125325,2021-12-05,-0.6550000000000011,5104.166666666046,-42.66666666662792,29573.78787878782,41673.83333333209,227.0909090909091,345.33333333334303,55.71075757575757,56.2,2021-11-26: Omicron variant first reported globally; 2021-12-08: UK Plan B restrictions announced; 2021-12-13: UK booster programme accelerated
10,2022-02-21,2022-02-27,7,0.30121606979607785,0.3099394812111318,2022-02-21,-0.37666666666666515,-17081.333333335817,-114.33333333334303,22134.476190476013,28290.16666666791,329.14285714285717,558.333333333343,38.54547619047619,38.60833333333333,"2022-02-24: UK ""Living with COVID"" plan announced"
11,2022-03-23,2022-03-29,7,-0.32396940819196657,-0.35223787388508476,2022-03-29,-0.5150000000000006,-5419.833333335817,-140.33333333334303,32816.333333333685,58522.5,169.21428571428572,312.5,31.23071428571428,31.391666666666666,No known event matched
12,2022-07-15,2022-07-31,17,-0.3753011791341219,-0.4761765502702012,2022-07-15,-0.006666666666667709,-27308.16666666791,-99.33333333334303,31435.735294117647,72366.0,109.78431372548906,211.16666666668607,16.027647058823533,16.438333333333333,No known event matched
13,2022-08-17,2022-09-05,20,0.40100315762414074,0.4412284117395486,2022-08-26,-1.3933333333333344,-26937.5,-188.33333333331393,17346.133333333208,34700.83333333209,108.3166666666657,285.5,14.27933333333333,15.346666666666666,No known event matched
14,2022-11-25,2022-11-27,3,-0.3086910580287916,-0.31937802297864626,2022-11-25,0.0,-549.1666666679084,-22.66666666668607,4573.277777777364,6573.833333332092,21.77777777777131,39.0,12.198333333333332,12.198333333333332,No known event matched
