phase,target,peak_lag,peak_corr,n_days
Phase 1: Initial Outbreak (Mar-Aug 2020),Cases,-6,-0.26743512428070304,166
Phase 1: Initial Outbreak (Mar-Aug 2020),Deaths,4,-0.3874403402032388,166
Phase 2: Second Wave (Sep 2020-Feb 2021),Cases,0,0.27026598034704274,181
Phase 2: Second Wave (Sep 2020-Feb 2021),Deaths,-1,0.1969131302916647,181
Phase 3: Vaccination Era (Mar-Sep 2021),Cases,0,0.23356509837815032,214
Phase 3: Vaccination Era (Mar-Sep 2021),Deaths,-7,-0.18158632821093051,214
Phase 4: Omicron (Oct 2021-Mar 2022),Cases,0,0.3567622485785982,182
Phase 4: Omicron (Oct 2021-Mar 2022),Deaths,5,0.2784069181045104,182
Phase 5: Post-Restrictions (Apr-Dec 2022),Cases,0,0.07917374784443333,257
Phase 5: Post-Restrictions (Apr-Dec 2022),Deaths,3,0.1362695900703792,257
