lag,correlation
-30,-0.024360892394400417
-29,-0.026414719998073682
-28,-0.028387916847946584
-27,-0.03028278601075093
-26,-0.03210315714418851
-25,-0.03381190050765941
-24,-0.03541345394790308
-23,-0.03690102652945853
-22,-0.03826313525282226
-21,-0.03949243881984514
-20,-0.04059449406836642
-19,-0.04153253841381525
-18,-0.042306135515877606
-17,-0.042938240227553465
-16,-0.04344415358748285
-15,-0.043850258221896664
-14,-0.044165996244458994
-13,-0.044391929758260285
-12,-0.04457356108799853
-11,-0.044746271299945066
-10,-0.04491049732378552
-9,-0.045078559724138455
-8,-0.045249853834098464
-7,-0.0454546704097772
-6,-0.04572386121475461
-5,-0.046055943787712876
-4,-0.0464649729264806
-3,-0.04695950902091866
-2,-0.0475621663217575
-1,-0.04827922669271009
0,-0.04909962092899837
1,-0.05014132778774737
2,-0.05114976493948944
3,-0.052112361937290415
4,-0.0530701041643631
5,-0.054004643916492054
6,-0.054934897963962295
7,-0.05594753791616072
8,-0.05709583193028826
9,-0.05837765845174461
10,-0.05976195663358556
11,-0.06126567819456832
12,-0.06288892090609531
13,-0.06463924689229611
14,-0.06664290861232561
15,-0.06871810589246657
16,-0.07086806205240859
17,-0.07311020104781496
18,-0.07541755099106554
19,-0.07777545188334715
20,-0.08017607869692792
21,-0.08257064386560829
22,-0.08509077447551758
23,-0.08767961257868141
24,-0.09032962820439534
25,-0.09304583096686855
26,-0.0958308841017741
27,-0.09874097253858741
28,-0.1017607817518948
29,-0.10480322535968159
30,-0.1079495674632089
