lag,correlation
-30,-0.2372468288510284
-29,-0.22868770753318945
-28,-0.21991412364697643
-27,-0.21079445133420702
-26,-0.20136840350278745
-25,-0.1915463026979756
-24,-0.18131619110133498
-23,-0.1707364910022278
-22,-0.16004316882458122
-21,-0.14916081663438077
-20,-0.13835467452620293
-19,-0.12750757337007745
-18,-0.11671191722137378
-17,-0.10600939124070463
-16,-0.0953718652799273
-15,-0.08478804536270458
-14,-0.07445336667872882
-13,-0.06420756344440955
-12,-0.054225533035517005
-11,-0.044395703487958446
-10,-0.034635550816477914
-9,-0.024973960612894055
-8,-0.015578420378096149
-7,-0.006238460316096086
-6,0.0030552573466329533
-5,0.01211133357940849
-4,0.020843164984187364
-3,0.029130796005593915
-2,0.036926650887182846
-1,0.044280059800874676
0,0.05103575059205925
1,0.056119533477084295
2,0.06068157613810927
3,0.06468364785486533
4,0.06820824830416007
5,0.07139005276743342
6,0.0741715781272761
7,0.07660545771744742
8,0.07872294570437909
9,0.08045600978580573
10,0.08188215579401356
11,0.08296028595112956
12,0.08356509349862029
13,0.08376018339690407
14,0.08359379938380204
15,0.08310653961044748
16,0.08227694508557504
17,0.08112037644606912
18,0.07957857905088919
19,0.0776919988111211
20,0.07546011534020973
21,0.07278228553817793
22,0.06961411329427905
23,0.0659938926936746
24,0.06192386163758738
25,0.05757492148228088
26,0.053150279825902445
27,0.048603652093896464
28,0.04389691258465974
29,0.03911150405109627
30,0.034223321496329014
