lag,correlation
-30,0.19342661858526738
-29,0.19509296323921696
-28,0.19699969188511865
-27,0.19909577875564777
-26,0.20139753070296357
-25,0.20404210331785183
-24,0.207193707184743
-23,0.21099498499200117
-22,0.21509107812159967
-21,0.2192720144133136
-20,0.22352363848795478
-19,0.2276805845114087
-18,0.2314184418299515
-17,0.23448466654067285
-16,0.2366593906205396
-15,0.2381335140993935
-14,0.23910744803467027
-13,0.23973408514860492
-12,0.24014309793386637
-11,0.24046036815231292
-10,0.24086858854437926
-9,0.2417258633520665
-8,0.2429294685619997
-7,0.2446132719970546
-6,0.24670750813770376
-5,0.24900724841384192
-4,0.25166429480564095
-3,0.2545337838154836
-2,0.2574823078514364
-1,0.26049489180058494
0,0.2633714771607139
1,0.26478724346042304
2,0.2661953133107179
3,0.26760344025864424
4,0.26923208121069525
5,0.2710971960356792
6,0.2731293923946552
7,0.2755269706017247
8,0.2784124447649135
9,0.2817330057938506
10,0.28538802415989123
11,0.2892642714621506
12,0.2933428100071824
13,0.2976997326288823
14,0.3024878136085153
15,0.3075953137694665
16,0.31298845140605974
17,0.3188123763395177
18,0.3249920841068138
19,0.3314724441752664
20,0.33823963371756655
21,0.3449209749474122
22,0.3515128207644798
23,0.35791296233666475
24,0.3639467499585961
25,0.3696613538087451
26,0.3752171796976024
27,0.3806158465946554
28,0.38590638214090994
29,0.3910488122873567
30,0.39616453568838333
