phase,shock,response,peak_day,peak_value,peak_sig,ci_lo,ci_hi
Phase 1: Initial Outbreak,Deaths,Tweet Volume,1,-25381.044158199988,False,-68345.9279243335,19053.1963960668
Phase 1: Initial Outbreak,Cases,Tweet Volume,1,-20908.180831126523,False,-69101.68999754201,27730.67759807957
Phase 1: Initial Outbreak,Deaths,Stringency,1,0.126139926737525,False,-0.08008594995685765,0.3205764712126934
Phase 1: Initial Outbreak,Cases,Stringency,1,0.1919210815034945,False,-0.005479317541035856,0.39507153426385444
Phase 2: Second Wave,Deaths,Tweet Volume,2,-64837.192193245304,False,-130696.45033434856,367.5089863086937
Phase 2: Second Wave,Cases,Tweet Volume,1,-79722.54321001467,True,-159305.2534631133,-6169.747220481758
Phase 2: Second Wave,Deaths,Stringency,1,-0.12361406770796936,False,-0.27213501575897653,0.03363313609118882
Phase 2: Second Wave,Cases,Stringency,2,-0.05168204952710183,False,-0.221696839303354,0.07321203964884863
Phase 3: Vaccination Era,Deaths,Tweet Volume,6,49490.04002475177,True,6178.837705161065,94953.37673412955
Phase 3: Vaccination Era,Cases,Tweet Volume,0,77722.39867127234,True,21733.49797498629,120672.95652912377
Phase 3: Vaccination Era,Deaths,Stringency,1,0.13472952720849463,False,-0.026351411519124995,0.30638679196882296
Phase 3: Vaccination Era,Cases,Stringency,0,0.12128234736600203,False,-0.08301016901199354,0.31389536524317896
Phase 4: Omicron,Deaths,Tweet Volume,0,84845.55790973998,True,45927.33492051395,124141.80864249468
Phase 4: Omicron,Cases,Tweet Volume,0,133241.38152229547,True,88053.35917427146,174211.71356048013
Phase 4: Omicron,Deaths,Stringency,1,-0.02439198419135876,False,-0.12200674264930918,0.07447992942105122
Phase 4: Omicron,Cases,Stringency,0,0.040036041797183716,False,-0.06957959342021604,0.1479241669632515
Phase 5: Post-Restrictions,Deaths,Tweet Volume,5,24046.618696881855,True,5158.011736587413,41172.28950942798
Phase 5: Post-Restrictions,Cases,Tweet Volume,7,13096.366926550387,True,204.73195815749708,25298.011693771285
Phase 5: Post-Restrictions,Deaths,Stringency,7,-0.028045305560484284,False,-0.06343963511176799,0.005731257998148087
Phase 5: Post-Restrictions,Cases,Stringency,0,-0.025526232474437166,False,-0.07506463285561889,0.0298296777376024
